Nom,Formule chimique,Principal pays producteur,Continent,Image
Or,Au,China,Asia,https://upload.wikimedia.org/wikipedia/commons/4/48/Gold_Nugget.jpg
Diamant,C,Botswana,Africa,https://upload.wikimedia.org/wikipedia/commons/a/a9/Natural_Diamond.jpg
Étain,Sn,Indonesia,Asia,https://upload.wikimedia.org/wikipedia/commons/3/35/Tin-2.jpg
Fer,Fe,Australia,Oceania,https://upload.wikimedia.org/wikipedia/commons/a/a4/Iron_ore_hematite.jpg
Cuivre,Cu,Chile,South America,https://upload.wikimedia.org/wikipedia/commons/5/55/NatCopper.jpg
Aluminium,Al,China,Asia,https://upload.wikimedia.org/wikipedia/commons/8/8b/Aluminium-4.jpg
Platine,Pt,South Africa,Africa,https://upload.wikimedia.org/wikipedia/commons/f/fe/Platinum_crystals.jpg
Argent,Ag,Mexico,North America,https://upload.wikimedia.org/wikipedia/commons/a/a7/Silver_ore.jpg
Lithium,Li,Australia,Oceania,https://upload.wikimedia.org/wikipedia/commons/d/d4/Spodumene_Lithium_Ore.jpg
Uranium,U,Kazakhstan,Asia,https://upload.wikimedia.org/wikipedia/commons/f/fe/Uraninite.jpg
Nickel,Ni,Indonesia,Asia,https://upload.wikimedia.org/wikipedia/commons/a/a6/Nickel_sulfide.jpg
Zinc,Zn,China,Asia,https://upload.wikimedia.org/wikipedia/commons/6/67/Zinc_1.jpg
Cobalt,Co,Democratic Republic of Congo,Africa,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cobalt%28metallic_beads%29.jpg
Charbon,C,China,Asia,https://upload.wikimedia.org/wikipedia/commons/2/20/Coal_anthracite.jpg
Pétrole,N/A (Hydrocarbon mixture),United States,North America,https://upload.wikimedia.org/wikipedia/commons/4/4a/Crude_oil_sample.jpg
Gaz naturel,CH₄,United States,North America,https://upload.wikimedia.org/wikipedia/commons/6/69/Natural_gas_flare.jpg
Bauxite,Al₂O₃,Australia,Oceania,https://upload.wikimedia.org/wikipedia/commons/8/87/Bauxite.jpg
Plomb,Pb,China,Asia,https://upload.wikimedia.org/wikipedia/commons/9/99/Lead_piece.jpg
Manganèse,Mn,South Africa,Africa,https://upload.wikimedia.org/wikipedia/commons/4/48/Manganese_electrolytic_and_1cm3_cube.jpg
Tungstène,W,China,Asia,https://upload.wikimedia.org/wikipedia/commons/f/f0/Tungsten_single_crystal.jpg
Kaolin,Al₂Si₂O₅(OH)₄,United States,North America,https://upload.wikimedia.org/wikipedia/commons/e/ed/Kaolinite.jpg
Rubis,Al₂O₃,Myanmar,Asia,https://upload.wikimedia.org/wikipedia/commons/4/4e/Ruby.jpg
Saphir,Al₂O₃,Madagascar,Africa,https://upload.wikimedia.org/wikipedia/commons/7/72/Sapphire_crystal.jpg
Émeraude,Be₃Al₂Si₆O₁₈,Colombia,South America,https://upload.wikimedia.org/wikipedia/commons/1/17/Emerald_crystal.jpg
Quartz,SiO₂,Brazil,South America,https://upload.wikimedia.org/wikipedia/commons/b/b0/Quartz%2C_Tibet.jpg
Granit,N/A (Silicate minerals),India,Asia,https://upload.wikimedia.org/wikipedia/commons/8/84/Granite.JPG
Graphite,C,China,Asia,https://upload.wikimedia.org/wikipedia/commons/7/7e/Natural_graphite.jpg
Argile,N/A (Mineral mixture),United States,North America,https://upload.wikimedia.org/wikipedia/commons/f/f3/Clay.jpg
Sable,SiO₂,India,Asia,https://upload.wikimedia.org/wikipedia/commons/1/1a/Sand.jpg
Sel,NaCl,United States,North America,https://upload.wikimedia.org/wikipedia/commons/e/eb/Salt.jpg
