Nom,Année de création,Pays,Continent,État ou Province,Ville,Logo
Toyota,1937,Japan,Asia,Aichi,Toyota City,https://upload.wikimedia.org/wikipedia/commons/9/9d/Toyota_logo.svg
Volkswagen Group,1937,Germany,Europe,Lower Saxony,Wolfsburg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Volkswagen_logo.svg
General Motors,1908,United States,North America,Michigan,Detroit,https://upload.wikimedia.org/wikipedia/commons/8/8e/General_Motors_logo.svg
Ford Motor Company,1903,United States,North America,Michigan,Dearborn,https://upload.wikimedia.org/wikipedia/commons/3/3e/Ford_logo_flat.svg
Honda Motor Co.,1948,Japan,Asia,Tokyo,Tokyo,https://upload.wikimedia.org/wikipedia/commons/3/36/Honda_logo.svg
Hyundai Motor Company,1967,South Korea,Asia,Seoul,Seoul,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hyundai_Motor_Company_logo.svg
Nissan,1933,Japan,Asia,Kanagawa,Yokohama,https://upload.wikimedia.org/wikipedia/commons/0/0b/Nissan_logo.svg
BMW Group,1916,Germany,Europe,Bavaria,Munich,https://upload.wikimedia.org/wikipedia/commons/4/44/BMW.svg
Mercedes-Benz Group AG,1926,Germany,Europe,Baden-Württemberg,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/e/ed/Mercedes-Benz_star_2022.svg
Stellantis,2021,Netherlands,Europe,North Holland,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/e/e4/Stellantis_logo.svg
"Tesla, Inc.",2003,United States,North America,California,Palo Alto,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tesla_Motors.svg
Renault,1899,France,Europe,Île-de-France,Boulogne-Billancourt,https://upload.wikimedia.org/wikipedia/commons/e/e2/Renault_2021_logo.svg
Peugeot,1810,France,Europe,Île-de-France,Paris,https://upload.wikimedia.org/wikipedia/commons/d/d3/Peugeot_logo_2021.svg
Ferrari,1939,Italy,Europe,Emilia-Romagna,Maranello,https://upload.wikimedia.org/wikipedia/en/d/d9/Ferrari_Logo.svg
Lamborghini,1963,Italy,Europe,Emilia-Romagna,Sant'Agata Bolognese,https://upload.wikimedia.org/wikipedia/en/4/4d/Lamborghini_logo.svg
Audi,1909,Germany,Europe,Bavaria,Ingolstadt,https://upload.wikimedia.org/wikipedia/commons/6/63/Audi_logo_2023.svg
Porsche,1931,Germany,Europe,Baden-Württemberg,Stuttgart,https://upload.wikimedia.org/wikipedia/en/3/32/Porsche_logo.svg
Kia Corporation,1944,South Korea,Asia,Seoul,Seoul,https://upload.wikimedia.org/wikipedia/commons/3/39/Kia_logo.svg
Mazda,1920,Japan,Asia,Hiroshima,Hiroshima,https://upload.wikimedia.org/wikipedia/en/0/0d/Mazda_logo_2023.svg
Suzuki,1909,Japan,Asia,Shizuoka,Hamamatsu,https://upload.wikimedia.org/wikipedia/commons/7/7e/Suzuki_logo.svg
Volvo Cars,1927,Sweden,Europe,Västra Götaland,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Volvo_Cars_logo_2020.svg
Subaru,1953,Japan,Asia,Gunma,Ota,https://upload.wikimedia.org/wikipedia/commons/4/42/Subaru_logo.svg
Mitsubishi Motors,1870,Japan,Asia,Tokyo,Tokyo,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mitsubishi_Motors_logo.svg
Chevrolet,1911,United States,North America,Michigan,Detroit,https://upload.wikimedia.org/wikipedia/commons/0/06/Chevrolet_logo.svg
Jaguar Land Rover,1922,United Kingdom,Europe,England,Coventry,https://upload.wikimedia.org/wikipedia/commons/2/26/Jaguar_Land_Rover_logo.svg
Tata Motors,1945,India,Asia,Maharashtra,Mumbai,https://upload.wikimedia.org/wikipedia/commons/f/f7/Tata_Motors_Logo.svg
Geely,1986,China,Asia,Zhejiang,Hangzhou,https://upload.wikimedia.org/wikipedia/en/d/d0/Geely_logo.svg
Changan,1862,China,Asia,Chongqing,Chongqing,https://upload.wikimedia.org/wikipedia/en/3/35/Changan_Auto_logo.svg
Daimler Trucks,2019,Germany,Europe,Baden-Württemberg,Stuttgart,https://upload.wikimedia.org/wikipedia/en/7/72/Daimler_Trucks_Logo.svg
