Nom,Année de création,Pays du siège,Continent du siège,État ou Province du siège,Ville du siège,Logo
Apple,1976,United States,North America,California,Cupertino,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg
Microsoft,1975,United States,North America,Washington,Redmond,https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg
Amazon,1994,United States,North America,Washington,Seattle,https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg
Alphabet (Google),1998,United States,North America,California,Mountain View,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Saudi Aramco,1933,Saudi Arabia,Asia,Eastern Province,Dhahran,https://upload.wikimedia.org/wikipedia/en/7/7f/Saudi_Aramco_logo.svg
Tesla,2003,United States,North America,California,Palo Alto,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tesla_Motors.svg
Berkshire Hathaway,1839,United States,North America,Nebraska,Omaha,https://upload.wikimedia.org/wikipedia/commons/0/09/Berkshire_Hathaway_logo.svg
Meta Platforms (Facebook),2004,United States,North America,California,Menlo Park,https://upload.wikimedia.org/wikipedia/commons/e/e3/Meta_Platforms_Inc._logo.svg
Alibaba Group,1999,China,Asia,Zhejiang,Hangzhou,https://upload.wikimedia.org/wikipedia/commons/2/2f/Alibaba_Group_Logo.svg
Toyota,1937,Japan,Asia,Aichi,Toyota City,https://upload.wikimedia.org/wikipedia/commons/9/9d/Toyota_logo.svg
Samsung,1938,South Korea,Asia,Gyeonggi,Suwon,https://upload.wikimedia.org/wikipedia/commons/2/24/Samsung_Logo.svg
Walmart,1962,United States,North America,Arkansas,Bentonville,https://upload.wikimedia.org/wikipedia/commons/c/ca/Walmart_logo.svg
ExxonMobil,1999,United States,North America,Texas,Irving,https://upload.wikimedia.org/wikipedia/commons/a/a3/ExxonMobil_Logo.svg
Shell,1907,Netherlands,Europe,South Holland,The Hague,https://upload.wikimedia.org/wikipedia/en/8/8d/Shell_logo.svg
Volkswagen,1937,Germany,Europe,Lower Saxony,Wolfsburg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Volkswagen_logo.svg
ICBC,1984,China,Asia,Beijing,Beijing,https://upload.wikimedia.org/wikipedia/commons/a/a3/Industrial_and_Commercial_Bank_of_China_%28logo%29.svg
Ping An Insurance,1988,China,Asia,Guangdong,Shenzhen,https://upload.wikimedia.org/wikipedia/en/2/2c/Ping_An_Insurance_logo.svg
BHP,1885,Australia,Oceania,Victoria,Melbourne,https://upload.wikimedia.org/wikipedia/en/d/d9/BHP_logo.svg
Procter & Gamble,1837,United States,North America,Ohio,Cincinnati,https://upload.wikimedia.org/wikipedia/commons/8/82/Procter_%26_Gamble_logo.svg
Nestlé,1866,Switzerland,Europe,Vaud,Vevey,https://upload.wikimedia.org/wikipedia/commons/6/69/Nestle_logo.svg
Johnson & Johnson,1886,United States,North America,New Jersey,New Brunswick,https://upload.wikimedia.org/wikipedia/commons/d/da/Johnson_and_Johnson_logo.svg
Pfizer,1849,United States,North America,New York,New York City,https://upload.wikimedia.org/wikipedia/commons/e/e8/Pfizer_logo.svg
Roche,1896,Switzerland,Europe,Basel,Basel,https://upload.wikimedia.org/wikipedia/commons/4/41/Roche_logo.svg
Novartis,1996,Switzerland,Europe,Basel,Basel,https://upload.wikimedia.org/wikipedia/commons/e/ee/Novartis_Logo.svg
Intel,1968,United States,North America,California,Santa Clara,https://upload.wikimedia.org/wikipedia/commons/c/c9/Intel_logo_%282020%29.svg
Cisco,1984,United States,North America,California,San Jose,https://upload.wikimedia.org/wikipedia/commons/7/73/Cisco_logo.svg
Tencent,1998,China,Asia,Guangdong,Shenzhen,https://upload.wikimedia.org/wikipedia/commons/4/4b/Tencent_Logo.svg
Nike,1964,United States,North America,Oregon,Beaverton,https://upload.wikimedia.org/wikipedia/commons/a/a6/Logo_NIKE.svg
IBM,1911,United States,North America,New York,Armonk,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Dell,1984,United States,North America,Texas,Round Rock,https://upload.wikimedia.org/wikipedia/commons/a/a4/Dell_Technologies_logo.svg
